AQI,Concentration,Date,Health,Location,count
25,5.9,5/2/18,Good,Portland,24
14,3.3,5/1/18,Good,Bend,24
13,3.1,5/1/18,Good,La Grande,24
14,3.3,5/1/18,Good,Medford,24
15,3.7,5/1/18,Good,Portland,24
10,2.4,4/30/18,Good,Bend,24
10,2.5,4/30/18,Good,La Grande,24
9,2.2,4/30/18,Good,Medford,24
18,4.2,4/30/18,Good,Portland,24
8,2,4/29/18,Good,Bend,24
10,2.5,4/29/18,Good,La Grande,24
3,0.7,4/29/18,Good,Medford,24
19,4.5,4/29/18,Good,Portland,24
13,3.2,4/28/18,Good,Bend,24
12,2.9,4/28/18,Good,La Grande,24
7,1.7,4/28/18,Good,Medford,24
36,8.6,4/28/18,Good,Portland,24
24,5.9,4/27/18,Good,Bend,24
25,6,4/27/18,Good,La Grande,24
12,3,4/27/18,Good,Medford,23
23,5.5,4/27/18,Good,Portland,24
50,11.9,4/26/18,Good,Bend,24
23,5.6,4/26/18,Good,La Grande,24
29,7,4/26/18,Good,Medford,24
31,7.4,4/26/18,Good,Portland,24
145,53.5,4/25/18,USG,Bend,24
18,4.2,4/25/18,Good,La Grande,24
26,6.2,4/25/18,Good,Medford,24
29,6.9,4/25/18,Good,Portland,24
55,13.8,4/24/18,Moderate,Bend,24
17,4.1,4/24/18,Good,La Grande,24
23,5.5,4/24/18,Good,Medford,23
13,3.1,4/24/18,Good,Portland,24
97,33.8,4/23/18,Moderate,Bend,24
14,3.4,4/23/18,Good,La Grande,24
19,4.7,4/23/18,Good,Medford,24
13,3.1,4/23/18,Good,Portland,24
11,2.7,4/22/18,Good,Bend,24
14,3.3,4/22/18,Good,La Grande,24
16,3.9,4/22/18,Good,Medford,24
19,4.6,4/22/18,Good,Portland,24
9,2.2,4/21/18,Good,Bend,24
12,3,4/21/18,Good,La Grande,24
13,3.1,4/21/18,Good,Medford,24
12,2.9,4/21/18,Good,Portland,24
10,2.5,4/20/18,Good,Bend,24
13,3,4/20/18,Good,La Grande,24
18,4.3,4/20/18,Good,Medford,24
20,4.8,4/20/18,Good,Portland,24
9,2.1,4/19/18,Good,Bend,24
12,2.9,4/19/18,Good,La Grande,24
19,4.7,4/19/18,Good,Medford,24
19,4.7,4/19/18,Good,Portland,24
7,1.8,4/18/18,Good,Bend,24
16,3.8,4/18/18,Good,La Grande,24
12,2.9,4/18/18,Good,Medford,24
12,2.9,4/18/18,Good,Portland,24
6,1.5,4/17/18,Good,Bend,24
14,3.3,4/17/18,Good,La Grande,24
8,1.9,4/17/18,Good,Medford,24
10,2.5,4/17/18,Good,Portland,24
6,1.4,4/16/18,Good,Bend,24
11,2.6,4/16/18,Good,La Grande,24
6,1.5,4/16/18,Good,Medford,24
,,4/16/18,,Portland,14
8,2,4/15/18,Good,Bend,24
14,3.3,4/15/18,Good,La Grande,24
16,3.8,4/15/18,Good,Medford,24
,,4/15/18,,Portland,0
10,2.4,4/14/18,Good,Bend,24
13,3.2,4/14/18,Good,La Grande,24
27,6.5,4/14/18,Good,Medford,24
,,4/14/18,,Portland,0
8,2,4/13/18,Good,Bend,24
14,3.3,4/13/18,Good,La Grande,24
20,4.9,4/13/18,Good,Medford,24
,,4/13/18,,Portland,12
6,1.5,4/12/18,Good,Bend,24
7,1.8,4/12/18,Good,La Grande,24
5,1.3,4/12/18,Good,Medford,24
8,2,4/12/18,Good,Portland,24
8,1.8,4/11/18,Good,Bend,24
9,2.2,4/11/18,Good,La Grande,24
8,1.9,4/11/18,Good,Medford,23
7,1.8,4/11/18,Good,Portland,24
12,3,4/10/18,Good,Bend,24
14,3.4,4/10/18,Good,La Grande,23
19,4.4,4/10/18,Good,Medford,24
13,3,4/10/18,Good,Portland,24
13,3.2,4/9/18,Good,Bend,24
11,2.6,4/9/18,Good,La Grande,22
23,5.6,4/9/18,Good,Medford,24
19,4.6,4/9/18,Good,Portland,24
6,1.5,4/8/18,Good,Bend,24
12,2.9,4/8/18,Good,La Grande,24
6,1.4,4/8/18,Good,Medford,24
9,2.2,4/8/18,Good,Portland,24
6,1.5,4/7/18,Good,Bend,24
12,2.9,4/7/18,Good,La Grande,24
3,0.6,4/7/18,Good,Medford,24
8,2,4/7/18,Good,Portland,24
8,1.9,4/6/18,Good,Bend,24
13,3,4/6/18,Good,La Grande,24
6,1.5,4/6/18,Good,Medford,24
10,2.4,4/6/18,Good,Portland,24
12,2.8,4/5/18,Good,Bend,24
19,4.6,4/5/18,Good,La Grande,24
22,5.2,4/5/18,Good,Medford,24
32,7.7,4/5/18,Good,Portland,23
10,2.5,4/4/18,Good,Bend,24
18,4.3,4/4/18,Good,La Grande,24
28,6.7,4/4/18,Good,Medford,23
26,6.1,4/4/18,Good,Portland,24
13,3.2,4/3/18,Good,Bend,24
23,5.5,4/3/18,Good,La Grande,24
25,6.1,4/3/18,Good,Medford,24
35,8.5,4/3/18,Good,Portland,24
9,2.2,4/2/18,Good,Bend,24
17,4,4/2/18,Good,La Grande,24
7,1.6,4/2/18,Good,Medford,24
15,3.5,4/2/18,Good,Portland,24
10,2.4,4/1/18,Good,Bend,24
13,3.2,4/1/18,Good,La Grande,24
16,3.8,4/1/18,Good,Medford,24
20,4.7,4/1/18,Good,Portland,24
18,4.4,3/31/18,Good,Bend,24
11,2.7,3/31/18,Good,La Grande,24
17,4,3/31/18,Good,Medford,24
20,4.8,3/31/18,Good,Portland,24
11,2.7,3/30/18,Good,Bend,24
14,3.3,3/30/18,Good,La Grande,24
21,5,3/30/18,Good,Medford,24
27,6.4,3/30/18,Good,Portland,24
14,3.4,3/29/18,Good,Bend,24
14,3.3,3/29/18,Good,La Grande,24
21,5.2,3/29/18,Good,Medford,24
22,5.2,3/29/18,Good,Portland,24
10,2.5,3/28/18,Good,Bend,24
10,2.4,3/28/18,Good,La Grande,24
22,5.2,3/28/18,Good,Medford,23
14,3.2,3/28/18,Good,Portland,24
8,1.8,3/27/18,Good,Bend,24
12,2.8,3/27/18,Good,La Grande,24
18,4.3,3/27/18,Good,Medford,24
10,2.3,3/27/18,Good,Portland,24
9,2.1,3/26/18,Good,Bend,24
20,4.8,3/26/18,Good,La Grande,24
21,5,3/26/18,Good,Medford,24
10,2.5,3/26/18,Good,Portland,24
12,2.8,3/25/18,Good,Bend,24
12,2.9,3/25/18,Good,La Grande,24
20,4.9,3/25/18,Good,Medford,24
16,3.9,3/25/18,Good,Portland,24
9,2.2,3/24/18,Good,Bend,24
16,3.7,3/24/18,Good,La Grande,24
12,2.8,3/24/18,Good,Medford,24
14,3.3,3/24/18,Good,Portland,24
9,2.1,3/23/18,Good,Bend,24
20,4.8,3/23/18,Good,La Grande,24
3,0.8,3/23/18,Good,Medford,24
8,1.9,3/23/18,Good,Portland,24
7,1.7,3/22/18,Good,Bend,24
9,2.1,3/22/18,Good,La Grande,24
11,2.5,3/22/18,Good,Medford,24
9,2.3,3/22/18,Good,Portland,24
8,2,3/21/18,Good,Bend,24
12,2.9,3/21/18,Good,La Grande,24
20,4.8,3/21/18,Good,Medford,23
31,7.5,3/21/18,Good,Portland,23
9,2.2,3/20/18,Good,Bend,24
19,4.5,3/20/18,Good,La Grande,24
19,4.4,3/20/18,Good,Medford,24
47,11.4,3/20/18,Good,Portland,24
16,3.7,3/19/18,Good,Bend,24
27,6.6,3/19/18,Good,La Grande,24
24,5.7,3/19/18,Good,Medford,24
20,4.8,3/19/18,Good,Portland,24
15,3.6,3/18/18,Good,Bend,24
12,3,3/18/18,Good,La Grande,24
17,4.1,3/18/18,Good,Medford,24
9,2.1,3/18/18,Good,Portland,24
13,3.1,3/17/18,Good,Bend,24
14,3.4,3/17/18,Good,La Grande,24
12,2.8,3/17/18,Good,Medford,23
16,3.8,3/17/18,Good,Portland,24
12,2.8,3/16/18,Good,Bend,24
16,3.8,3/16/18,Good,La Grande,24
13,3.2,3/16/18,Good,Medford,24
11,2.7,3/16/18,Good,Portland,23
11,2.6,3/15/18,Good,Bend,24
14,3.3,3/15/18,Good,La Grande,24
,,3/15/18,,Medford,10
20,4.9,3/15/18,Good,Portland,21
10,2.4,3/14/18,Good,Bend,24
